index,Unidades da Federacao,Unidade,Produto,Ano,Producao
360,Acre,(mil m3),Etanol anidro e hidratado,2019,0
361,Alagoas,(mil barris),LGN,2019,3690
362,Alagoas,(mil barris),Petroleo,2019,97531
363,Alagoas,(mil m3),Etanol anidro e hidratado,2019,50316
364,Alagoas,(milhoes de m3),Gas Natural,2019,3145
365,Amazonas,(mil barris),LGN,2019,59950
366,Amazonas,(mil barris),Petroleo,2019,68140
367,Amazonas,(mil m3),Etanol anidro e hidratado,2019,882
368,Amazonas,(milhoes de m3),Gas Natural,2019,55711
369,Bahia,(m3),Biodiesel,2019,4543260
370,Bahia,(mil barris),LGN,2019,8800
371,Bahia,(mil barris),Petroleo,2019,102630
372,Bahia,(mil m3),Etanol anidro e hidratado,2019,2491
373,Bahia,(milhoes de m3),Gas Natural,2019,20827
374,Ceara,(m3),Biodiesel,2019,0
375,Ceara,(m3),Biometano,2019,0
376,Ceara,(mil barris),LGN,2019,0
377,Ceara,(mil barris),Petroleo,2019,18550
378,Ceara,(mil m3),Etanol anidro e hidratado,2019,0
379,Ceara,(milhoes de m3),Gas Natural,2019,284
380,Espirito Santo,(mil barris),LGN,2019,56490
381,Espirito Santo,(mil barris),Petroleo,2019,1049890
382,Espirito Santo,(mil m3),Etanol anidro e hidratado,2019,12097
383,Espirito Santo,(milhoes de m3),Gas Natural,2019,26717
384,Goias,(m3),Biodiesel,2019,8650510
385,Goias,(mil m3),Etanol anidro e hidratado,2019,547074
386,Maranhao,(mil barris),Petroleo,2019,200
387,Maranhao,(mil m3),Etanol anidro e hidratado,2019,16774
388,Maranhao,(milhoes de m3),Gas Natural,2019,13951
389,Mato Grosso,(m3),Biodiesel,2019,12349720
390,Mato Grosso,(mil m3),Etanol anidro e hidratado,2019,225438
391,Mato Grosso do Sul,(m3),Biodiesel,2019,3434570
392,Mato Grosso do Sul,(mil m3),Etanol anidro e hidratado,2019,33072
393,Minas Gerais,(m3),Biodiesel,2019,1311120
394,Minas Gerais,(mil m3),Etanol anidro e hidratado,2019,357921
395,Para,(m3),Biodiesel,2019,0
396,Para,(mil m3),Etanol anidro e hidratado,2019,6123
397,Paraiba,(mil m3),Etanol anidro e hidratado,2019,35903
398,Parana,(m3),Biodiesel,2019,6299470
399,Parana,(mil m3),Etanol anidro e hidratado,2019,166463
400,Parana,(milhoes de m3),Gas Natural,2019,0
401,Pernambuco,(mil m3),Etanol anidro e hidratado,2019,36796
402,Piaui,(m3),Biodiesel,2019,0
403,Piaui,(mil m3),Etanol anidro e hidratado,2019,4646
404,Rio Grande do Norte,(m3),Biodiesel,2019,0
405,Rio Grande do Norte,(mil barris),LGN,2019,8190
406,Rio Grande do Norte,(mil barris),Petroleo,2019,139100
407,Rio Grande do Norte,(mil m3),Etanol anidro e hidratado,2019,10964
408,Rio Grande do Norte,(milhoes de m3),Gas Natural,2019,3348
409,Rio Grande do Sul,(m3),Biodiesel,2019,16363360
410,Rio Grande do Sul,(mil m3),Etanol anidro e hidratado,2019,164
411,Rio de Janeiro,(m3),Biodiesel,2019,1376730
412,Rio de Janeiro,(m3),Biometano,2019,0
413,Rio de Janeiro,(mil barris),LGN,2019,43300
414,Rio de Janeiro,(mil barris),Petroleo,2019,7658690
415,Rio de Janeiro,(mil m3),Etanol anidro e hidratado,2019,9162
416,Rio de Janeiro,(milhoes de m3),Gas Natural,2019,249862
417,Rondonia,(m3),Biodiesel,2019,158620
418,Rondonia,(mil m3),Etanol anidro e hidratado,2019,485
419,Santa Catarina,(m3),Biodiesel,2019,1304730
420,Sao Paulo,(m3),Biodiesel,2019,2310900
421,Sao Paulo,(m3),Biometano,2019,0
422,Sao Paulo,(mil barris),LGN,2019,193090
423,Sao Paulo,(mil barris),Petroleo,2019,1074600
424,Sao Paulo,(mil m3),Etanol anidro e hidratado,2019,1666825
425,Sao Paulo,(milhoes de m3),Gas Natural,2019,66942
426,Sergipe,(mil barris),LGN,2019,3480
427,Sergipe,(mil barris),Petroleo,2019,53750
428,Sergipe,(mil m3),Etanol anidro e hidratado,2019,10183
429,Sergipe,(milhoes de m3),Gas Natural,2019,6454
430,Tocantins,(m3),Biodiesel,2019,924890
431,Tocantins,(mil m3),Etanol anidro e hidratado,2019,16637
432,Acre,(mil m3),Etanol anidro e hidratado,2020,0
433,Alagoas,(mil barris),LGN,2020,3890
434,Alagoas,(mil barris),Petroleo,2020,93000
435,Alagoas,(mil m3),Etanol anidro e hidratado,2020,42589
436,Alagoas,(milhoes de m3),Gas Natural,2020,3095
437,Amazonas,(mil barris),LGN,2020,57480
438,Amazonas,(mil barris),Petroleo,2020,57770
439,Amazonas,(mil m3),Etanol anidro e hidratado,2020,901
440,Amazonas,(milhoes de m3),Gas Natural,2020,49572
441,Bahia,(m3),Biodiesel,2020,4385810
442,Bahia,(mil barris),LGN,2020,6740
443,Bahia,(mil barris),Petroleo,2020,100620
444,Bahia,(mil m3),Etanol anidro e hidratado,2020,27355
445,Bahia,(milhoes de m3),Gas Natural,2020,15631
446,Ceara,(m3),Biodiesel,2020,0
447,Ceara,(m3),Biometano,2020,247921090
448,Ceara,(mil barris),LGN,2020,0
449,Ceara,(mil barris),Petroleo,2020,58800
450,Ceara,(mil m3),Etanol anidro e hidratado,2020,0
451,Ceara,(milhoes de m3),Gas Natural,2020,62
452,Espirito Santo,(mil barris),LGN,2020,57520
453,Espirito Santo,(mil barris),Petroleo,2020,904000
454,Espirito Santo,(mil m3),Etanol anidro e hidratado,2020,8969
455,Espirito Santo,(milhoes de m3),Gas Natural,2020,23038
456,Goias,(m3),Biodiesel,2020,8784980
457,Goias,(mil m3),Etanol anidro e hidratado,2020,531805
458,Maranhao,(mil barris),Petroleo,2020,2400
459,Maranhao,(mil m3),Etanol anidro e hidratado,2020,17455
460,Maranhao,(milhoes de m3),Gas Natural,2020,13504
461,Mato Grosso,(m3),Biodiesel,2020,13833840
462,Mato Grosso,(mil m3),Etanol anidro e hidratado,2020,312387
463,Mato Grosso do Sul,(m3),Biodiesel,2020,3088900
464,Mato Grosso do Sul,(mil m3),Etanol anidro e hidratado,2020,287725
465,Minas Gerais,(m3),Biodiesel,2020,1318880
466,Minas Gerais,(mil m3),Etanol anidro e hidratado,2020,307821
467,Para,(m3),Biodiesel,2020,0
468,Para,(mil m3),Etanol anidro e hidratado,2020,5034
469,Paraiba,(mil m3),Etanol anidro e hidratado,2020,39553
470,Parana,(m3),Biodiesel,2020,7682400
471,Parana,(mil m3),Etanol anidro e hidratado,2020,126387
472,Parana,(milhoes de m3),Gas Natural,2020,0
473,Pernambuco,(mil m3),Etanol anidro e hidratado,2020,39502
474,Piaui,(m3),Biodiesel,2020,396430
475,Piaui,(mil m3),Etanol anidro e hidratado,2020,3861
476,Rio Grande do Norte,(m3),Biodiesel,2020,0
477,Rio Grande do Norte,(mil barris),LGN,2020,5410
478,Rio Grande do Norte,(mil barris),Petroleo,2020,214230
479,Rio Grande do Norte,(mil m3),Etanol anidro e hidratado,2020,1183
480,Rio Grande do Norte,(milhoes de m3),Gas Natural,2020,2449
481,Rio Grande do Sul,(m3),Biodiesel,2020,18332670
482,Rio Grande do Sul,(mil m3),Etanol anidro e hidratado,2020,9
483,Rio de Janeiro,(m3),Biodiesel,2020,1412990
484,Rio de Janeiro,(m3),Biometano,2020,113513270
485,Rio de Janeiro,(mil barris),LGN,2020,32200
486,Rio de Janeiro,(mil barris),Petroleo,2020,8538030
487,Rio de Janeiro,(mil m3),Etanol anidro e hidratado,2020,13739
488,Rio de Janeiro,(milhoes de m3),Gas Natural,2020,295666
489,Rondonia,(m3),Biodiesel,2020,68540
490,Rondonia,(mil m3),Etanol anidro e hidratado,2020,7
491,Santa Catarina,(m3),Biodiesel,2020,1399450
492,Sao Paulo,(m3),Biodiesel,2020,2329330
493,Sao Paulo,(m3),Biometano,2020,0
494,Sao Paulo,(mil barris),LGN,2020,201540
495,Sao Paulo,(mil barris),Petroleo,2020,982260
496,Sao Paulo,(mil m3),Etanol anidro e hidratado,2020,1448127
497,Sao Paulo,(milhoes de m3),Gas Natural,2020,61560
498,Sergipe,(mil barris),LGN,2020,1060
499,Sergipe,(mil barris),Petroleo,2020,109160
500,Sergipe,(mil m3),Etanol anidro e hidratado,2020,9716
501,Sergipe,(milhoes de m3),Gas Natural,2020,1734
502,Tocantins,(m3),Biodiesel,2020,1417570
503,Tocantins,(mil m3),Etanol anidro e hidratado,2020,1745
504,Acre,(mil m3),Etanol anidro e hidratado,2021,0
505,Alagoas,(mil barris),LGN,2021,2960
506,Alagoas,(mil barris),Petroleo,2021,6740
507,Alagoas,(mil m3),Etanol anidro e hidratado,2021,42361
508,Alagoas,(milhoes de m3),Gas Natural,2021,2018
509,Amazonas,(mil barris),LGN,2021,54060
510,Amazonas,(mil barris),Petroleo,2021,53280
511,Amazonas,(mil m3),Etanol anidro e hidratado,2021,639
512,Amazonas,(milhoes de m3),Gas Natural,2021,49571
513,Bahia,(m3),Biodiesel,2021,4104300
514,Bahia,(mil barris),LGN,2021,6470
515,Bahia,(mil barris),Petroleo,2021,81910
516,Bahia,(mil m3),Etanol anidro e hidratado,2021,31154
517,Bahia,(milhoes de m3),Gas Natural,2021,19829
518,Ceara,(m3),Biodiesel,2021,0
519,Ceara,(m3),Biometano,2021,245916970
520,Ceara,(mil barris),LGN,2021,0
521,Ceara,(mil barris),Petroleo,2021,2470
522,Ceara,(mil m3),Etanol anidro e hidratado,2021,0
523,Ceara,(milhoes de m3),Gas Natural,2021,3
524,Espirito Santo,(mil barris),LGN,2021,50970
525,Espirito Santo,(mil barris),Petroleo,2021,768800
526,Espirito Santo,(mil m3),Etanol anidro e hidratado,2021,9302
527,Espirito Santo,(milhoes de m3),Gas Natural,2021,19973
528,Goias,(m3),Biodiesel,2021,9646410
529,Goias,(mil m3),Etanol anidro e hidratado,2021,497971
530,Maranhao,(mil barris),Petroleo,2021,300
531,Maranhao,(mil m3),Etanol anidro e hidratado,2021,16433
532,Maranhao,(milhoes de m3),Gas Natural,2021,21411
533,Mato Grosso,(m3),Biodiesel,2021,13215940
534,Mato Grosso,(mil m3),Etanol anidro e hidratado,2021,393536
535,Mato Grosso do Sul,(m3),Biodiesel,2021,2797690
536,Mato Grosso do Sul,(mil m3),Etanol anidro e hidratado,2021,26367
537,Minas Gerais,(m3),Biodiesel,2021,1122010
538,Minas Gerais,(mil m3),Etanol anidro e hidratado,2021,283928
539,Para,(m3),Biodiesel,2021,0
540,Para,(mil m3),Etanol anidro e hidratado,2021,5498
541,Paraiba,(mil m3),Etanol anidro e hidratado,2021,36288
542,Parana,(m3),Biodiesel,2021,12160480
543,Parana,(mil m3),Etanol anidro e hidratado,2021,119362
544,Parana,(milhoes de m3),Gas Natural,2021,0
545,Pernambuco,(mil m3),Etanol anidro e hidratado,2021,32088
546,Piaui,(m3),Biodiesel,2021,423920
547,Piaui,(mil m3),Etanol anidro e hidratado,2021,4414
548,Rio Grande do Norte,(m3),Biodiesel,2021,0
549,Rio Grande do Norte,(mil barris),LGN,2021,5270
550,Rio Grande do Norte,(mil barris),Petroleo,2021,122270
551,Rio Grande do Norte,(mil m3),Etanol anidro e hidratado,2021,10178
552,Rio Grande do Norte,(milhoes de m3),Gas Natural,2021,2449
553,Rio Grande do Sul,(m3),Biodiesel,2021,18642910
554,Rio Grande do Sul,(mil m3),Etanol anidro e hidratado,2021,0
555,Rio de Janeiro,(m3),Biodiesel,2021,1378780
556,Rio de Janeiro,(m3),Biometano,2021,284517240
557,Rio de Janeiro,(mil barris),LGN,2021,31150
558,Rio de Janeiro,(mil barris),Petroleo,2021,8546620
559,Rio de Janeiro,(mil m3),Etanol anidro e hidratado,2021,12634
560,Rio de Janeiro,(milhoes de m3),Gas Natural,2021,312233
561,Rondonia,(m3),Biodiesel,2021,37240
562,Rondonia,(mil m3),Etanol anidro e hidratado,2021,0
563,Santa Catarina,(m3),Biodiesel,2021,1017980
564,Sao Paulo,(m3),Biodiesel,2021,1751980
565,Sao Paulo,(m3),Biometano,2021,0
566,Sao Paulo,(mil barris),LGN,2021,180530
567,Sao Paulo,(mil barris),Petroleo,2021,992260
568,Sao Paulo,(mil m3),Etanol anidro e hidratado,2021,121255
569,Sao Paulo,(milhoes de m3),Gas Natural,2021,60572
570,Sergipe,(mil barris),LGN,2021,0
571,Sergipe,(mil barris),Petroleo,2021,29030
572,Sergipe,(mil m3),Etanol anidro e hidratado,2021,1130
573,Sergipe,(milhoes de m3),Gas Natural,2021,182
574,Tocantins,(m3),Biodiesel,2021,1406980
575,Tocantins,(mil m3),Etanol anidro e hidratado,2021,19501
576,Acre,(mil m3),Etanol anidro e hidratado,2022,0
577,Alagoas,(mil barris),LGN,2022,280
578,Alagoas,(mil barris),Petroleo,2022,8820
579,Alagoas,(mil m3),Etanol anidro e hidratado,2022,38491
580,Alagoas,(milhoes de m3),Gas Natural,2022,2740
581,Amazonas,(mil barris),LGN,2022,50990
582,Amazonas,(mil barris),Petroleo,2022,49000
583,Amazonas,(mil m3),Etanol anidro e hidratado,2022,59
584,Amazonas,(milhoes de m3),Gas Natural,2022,50676
585,Bahia,(m3),Biodiesel,2022,5773000
586,Bahia,(mil barris),LGN,2022,7660
587,Bahia,(mil barris),Petroleo,2022,72240
588,Bahia,(mil m3),Etanol anidro e hidratado,2022,33491
589,Bahia,(milhoes de m3),Gas Natural,2022,17889
590,Ceara,(m3),Biodiesel,2022,0
591,Ceara,(m3),Biometano,2022,286624650
592,Ceara,(mil barris),LGN,2022,0
593,Ceara,(mil barris),Petroleo,2022,2230
594,Ceara,(mil m3),Etanol anidro e hidratado,2022,0
595,Ceara,(milhoes de m3),Gas Natural,2022,3
596,Espirito Santo,(mil barris),LGN,2022,34060
597,Espirito Santo,(mil barris),Petroleo,2022,502820
598,Espirito Santo,(mil m3),Etanol anidro e hidratado,2022,1039
599,Espirito Santo,(milhoes de m3),Gas Natural,2022,12439
600,Goias,(m3),Biodiesel,2022,11038620
601,Goias,(mil m3),Etanol anidro e hidratado,2022,512452
602,Maranhao,(mil barris),Petroleo,2022,140
603,Maranhao,(mil m3),Etanol anidro e hidratado,2022,14311
604,Maranhao,(milhoes de m3),Gas Natural,2022,9278
605,Mato Grosso,(m3),Biodiesel,2022,10653660
606,Mato Grosso,(mil m3),Etanol anidro e hidratado,2022,430952
607,Mato Grosso do Sul,(m3),Biodiesel,2022,1895980
608,Mato Grosso do Sul,(mil m3),Etanol anidro e hidratado,2022,307747
609,Minas Gerais,(m3),Biodiesel,2022,1280930
610,Minas Gerais,(mil m3),Etanol anidro e hidratado,2022,289495
611,Para,(m3),Biodiesel,2022,495770
612,Para,(mil m3),Etanol anidro e hidratado,2022,5277
613,Paraiba,(mil m3),Etanol anidro e hidratado,2022,36186
614,Parana,(m3),Biodiesel,2022,8440460
615,Parana,(mil m3),Etanol anidro e hidratado,2022,108755
616,Parana,(milhoes de m3),Gas Natural,2022,41
617,Pernambuco,(mil m3),Etanol anidro e hidratado,2022,30874
618,Piaui,(m3),Biodiesel,2022,542900
619,Piaui,(mil m3),Etanol anidro e hidratado,2022,4503
620,Rio Grande do Norte,(m3),Biodiesel,2022,0
621,Rio Grande do Norte,(mil barris),LGN,2022,2480
622,Rio Grande do Norte,(mil barris),Petroleo,2022,119930
623,Rio Grande do Norte,(mil m3),Etanol anidro e hidratado,2022,9181
624,Rio Grande do Norte,(milhoes de m3),Gas Natural,2022,3370
625,Rio Grande do Sul,(m3),Biodiesel,2022,15259290
626,Rio Grande do Sul,(mil m3),Etanol anidro e hidratado,2022,1
627,Rio de Janeiro,(m3),Biodiesel,2022,1340930
628,Rio de Janeiro,(m3),Biometano,2022,369096850
629,Rio de Janeiro,(mil barris),LGN,2022,47740
630,Rio de Janeiro,(mil barris),Petroleo,2022,9324310
631,Rio de Janeiro,(mil m3),Etanol anidro e hidratado,2022,11017
632,Rio de Janeiro,(milhoes de m3),Gas Natural,2022,347765
633,Rondonia,(m3),Biodiesel,2022,185550
634,Rondonia,(mil m3),Etanol anidro e hidratado,2022,0
635,Santa Catarina,(m3),Biodiesel,2022,2833180
636,Sao Paulo,(m3),Biodiesel,2022,1860140
637,Sao Paulo,(m3),Biometano,2022,11097470
638,Sao Paulo,(mil barris),LGN,2022,191470
639,Sao Paulo,(mil barris),Petroleo,2022,935380
640,Sao Paulo,(mil m3),Etanol anidro e hidratado,2022,1191128
641,Sao Paulo,(milhoes de m3),Gas Natural,2022,59090
642,Sergipe,(mil barris),LGN,2022,0
643,Sergipe,(mil barris),Petroleo,2022,13640
644,Sergipe,(mil m3),Etanol anidro e hidratado,2022,7911
645,Sergipe,(milhoes de m3),Gas Natural,2022,91
646,Tocantins,(m3),Biodiesel,2022,946690
647,Tocantins,(mil m3),Etanol anidro e hidratado,2022,20958
648,Acre,(mil m3),Etanol anidro e hidratado,2023,0
649,Alagoas,(mil barris),LGN,2023,5470
650,Alagoas,(mil barris),Petroleo,2023,9080
651,Alagoas,(mil m3),Etanol anidro e hidratado,2023,51168
652,Alagoas,(milhoes de m3),Gas Natural,2023,4366
653,Amazonas,(mil barris),LGN,2023,50920
654,Amazonas,(mil barris),Petroleo,2023,45040
655,Amazonas,(mil m3),Etanol anidro e hidratado,2023,681
656,Amazonas,(milhoes de m3),Gas Natural,2023,52137
657,Bahia,(m3),Biodiesel,2023,5586710
658,Bahia,(mil barris),LGN,2023,2450
659,Bahia,(mil barris),Petroleo,2023,58580
660,Bahia,(mil m3),Etanol anidro e hidratado,2023,38181
661,Bahia,(milhoes de m3),Gas Natural,2023,15560
662,Ceara,(m3),Biodiesel,2023,0
663,Ceara,(m3),Biometano,2023,256577930
664,Ceara,(mil barris),LGN,2023,0
665,Ceara,(mil barris),Petroleo,2023,2650
666,Ceara,(mil m3),Etanol anidro e hidratado,2023,0
667,Ceara,(milhoes de m3),Gas Natural,2023,3
668,Espirito Santo,(mil barris),LGN,2023,33890
669,Espirito Santo,(mil barris),Petroleo,2023,619710
670,Espirito Santo,(mil m3),Etanol anidro e hidratado,2023,8819
671,Espirito Santo,(milhoes de m3),Gas Natural,2023,15262
672,Goias,(m3),Biodiesel,2023,11837180
673,Goias,(mil m3),Etanol anidro e hidratado,2023,545738
674,Maranhao,(mil barris),Petroleo,2023,270
675,Maranhao,(mil m3),Etanol anidro e hidratado,2023,16069
676,Maranhao,(milhoes de m3),Gas Natural,2023,8445
677,Mato Grosso,(m3),Biodiesel,2023,15530910
678,Mato Grosso,(mil m3),Etanol anidro e hidratado,2023,540265
679,Mato Grosso do Sul,(m3),Biodiesel,2023,2993180
680,Mato Grosso do Sul,(mil m3),Etanol anidro e hidratado,2023,380775
681,Minas Gerais,(m3),Biodiesel,2023,622030
682,Minas Gerais,(mil m3),Etanol anidro e hidratado,2023,33047
683,Para,(m3),Biodiesel,2023,1288180
684,Para,(mil m3),Etanol anidro e hidratado,2023,5413
685,Paraiba,(mil m3),Etanol anidro e hidratado,2023,41927
686,Parana,(m3),Biodiesel,2023,10706660
687,Parana,(mil m3),Etanol anidro e hidratado,2023,123122
688,Parana,(milhoes de m3),Gas Natural,2023,94
689,Pernambuco,(mil m3),Etanol anidro e hidratado,2023,32812
690,Piaui,(m3),Biodiesel,2023,660550
691,Piaui,(mil m3),Etanol anidro e hidratado,2023,4716
692,Rio Grande do Norte,(m3),Biodiesel,2023,0
693,Rio Grande do Norte,(mil barris),LGN,2023,1800
694,Rio Grande do Norte,(mil barris),Petroleo,2023,118190
695,Rio Grande do Norte,(mil m3),Etanol anidro e hidratado,2023,13828
696,Rio Grande do Norte,(milhoes de m3),Gas Natural,2023,3835
697,Rio Grande do Sul,(m3),Biodiesel,2023,16986340
698,Rio Grande do Sul,(mil m3),Etanol anidro e hidratado,2023,2
699,Rio de Janeiro,(m3),Biodiesel,2023,1488650
700,Rio de Janeiro,(m3),Biometano,2023,426100880
701,Rio de Janeiro,(mil barris),LGN,2023,48750
702,Rio de Janeiro,(mil barris),Petroleo,2023,10631800
703,Rio de Janeiro,(mil m3),Etanol anidro e hidratado,2023,8205
704,Rio de Janeiro,(milhoes de m3),Gas Natural,2023,395540
705,Rondonia,(m3),Biodiesel,2023,653830
706,Rondonia,(mil m3),Etanol anidro e hidratado,2023,0
707,Santa Catarina,(m3),Biodiesel,2023,3786720
708,Sao Paulo,(m3),Biodiesel,2023,2245120
709,Sao Paulo,(m3),Biometano,2023,66179110
710,Sao Paulo,(mil barris),LGN,2023,148490
711,Sao Paulo,(mil barris),Petroleo,2023,906080
712,Sao Paulo,(mil m3),Etanol anidro e hidratado,2023,1367476
713,Sao Paulo,(milhoes de m3),Gas Natural,2023,51338
714,Sergipe,(mil barris),LGN,2023,0
715,Sergipe,(mil barris),Petroleo,2023,24510
716,Sergipe,(mil m3),Etanol anidro e hidratado,2023,9089
717,Sergipe,(milhoes de m3),Gas Natural,2023,191
718,Tocantins,(m3),Biodiesel,2023,890520
719,Tocantins,(mil m3),Etanol anidro e hidratado,2023,19271